Date,Open,High,Low,Close,Adj Close,Volume
2020-02-26,782.500000,813.309998,776.109985,778.799988,778.799988,14085500
2020-02-27,730.000000,739.770020,669.000000,679.000000,679.000000,24277200
2020-02-28,629.700012,690.520020,611.520020,667.989990,667.989990,24564200
2020-03-02,711.260010,743.690002,686.669983,743.619995,743.619995,20195000
2020-03-03,805.000000,806.979980,716.109985,745.510010,745.510010,25784000
2020-03-04,763.960022,766.520020,724.729980,749.500000,749.500000,15049000
2020-03-05,723.770020,745.750000,718.070007,724.539978,724.539978,10852700
2020-03-06,690.000000,707.000000,684.270020,703.479980,703.479980,12662900
2020-03-09,605.390015,663.000000,605.000000,608.000000,608.000000,17073700
2020-03-10,659.429993,668.000000,608.000000,645.330017,645.330017,15594400
2020-03-11,640.200012,653.580017,613.000000,634.229980,634.229980,13322500
2020-03-12,580.890015,594.500000,546.250000,560.549988,560.549988,18909100
2020-03-13,595.000000,607.570007,502.000000,546.619995,546.619995,22640300
2020-03-16,469.500000,494.869995,442.170013,445.070007,445.070007,20489500
2020-03-17,440.010010,471.850006,396.000000,430.200012,430.200012,23994600
2020-03-18,389.000000,404.859985,350.510010,361.220001,361.220001,23786200
2020-03-19,374.700012,452.000000,358.459991,427.640015,427.640015,30195500
2020-03-20,438.200012,477.000000,425.790009,427.529999,427.529999,28285500
2020-03-23,433.600006,442.000000,410.500000,434.290009,434.290009,16454500
2020-03-24,477.299988,513.690002,474.000000,505.000000,505.000000,22895200
2020-03-25,545.250000,557.000000,511.109985,539.250000,539.250000,21222700
2020-03-26,547.390015,560.000000,512.250000,528.159973,528.159973,17380700
